,PIR_364mg.kg_5d_NN_OG_Rep1,PIR_364mg.kg_5d_NN_OG_Rep2,PIR_364mg.kg_5d_NN_OG_Rep3,Control_0_5d_NN_OG_Rep1,Control_0_5d_NN_OG_Rep6,Control_0_5d_NN_OG_Rep3
ENSRNOG00000010199,0,0,0,0,0,0
ENSRNOG00000010204,93,104,83,366,399,314
ENSRNOG00000010205,85,106,110,438,361,238
ENSRNOG00000010208,25,11,22,90,73,55
ENSRNOG00000010209,69,57,42,112,117,86
ENSRNOG00000010210,13,5,14,7,5,6
ENSRNOG00000010213,137,128,111,530,468,373
ENSRNOG00000010214,169,170,169,870,965,595
ENSRNOG00000010217,509,502,486,1912,1690,1108
ENSRNOG00000010218,3235.67,3646.62,2764.85,9291.04,8916.63,7336.43
ENSRNOG00000010219,61,61.23,50,530.72,273.88,161.87
ENSRNOG00000010224,1413,1379,1153,394,203,120
ENSRNOG00000010227,95,89,82,344,316,227
ENSRNOG00000010230,113,134,77,346,262,233
ENSRNOG00000010232,245,242,242,851,488,366
ENSRNOG00000010233,2997,3463,2758,13218,13681,10980
ENSRNOG00000010234,243,249,195,711,671,515
ENSRNOG00000010235,156,140,120,653,542,440
ENSRNOG00000010237,768,771,820,2569,2092,1385
ENSRNOG00000010238,23,39,20,257,84,106
ENSRNOG00000010239,2929,3404,2824,8513,9028,7645
ENSRNOG00000010240,254,288,355,1101,743,546
ENSRNOG00000010241,57,53,52,112,76,63
ENSRNOG00000010244,31,27,39,472,327,122
ENSRNOG00000010248,2,1,3,9,6,4
ENSRNOG00000010252,1023,1094,955,3553,2954,2309
ENSRNOG00000010253,249,236,354,1564,1865,1282
ENSRNOG00000010254,0,0,0,0,0,0
ENSRNOG00000010257,8,9,9,63,54,38
ENSRNOG00000010258,146,122,105,480,446,276
ENSRNOG00000010259,0,0,0,0,0,1
ENSRNOG00000010260,393,435,296,1026,576,709
ENSRNOG00000010261,0,0,0,2,1,1
ENSRNOG00000010262,1884,3205,2262,168,37,33
ENSRNOG00000010263,1,0,0,2,4,1
ENSRNOG00000010265,17,20,13,142,75,82
ENSRNOG00000010266,24,17,31,572,140,124
ENSRNOG00000010267,818,829,858,3489,3164,2317
ENSRNOG00000010268,2,23,8,21,30,6
ENSRNOG00000010270,1,1,0,1,2,1
ENSRNOG00000010274,271,227,203,655,645,565
ENSRNOG00000010275,163,137,114,1636,1686,727
ENSRNOG00000010277,429,370,361,1165,1126,675
ENSRNOG00000010278,0,0,0,0,0,2
ENSRNOG00000010280,7,5,6,36,33,16
ENSRNOG00000010282,0,3,2,11,9,15
ENSRNOG00000010283,0,3,1,9,4,5
ENSRNOG00000010284,182,194,129,578,448,308
ENSRNOG00000010286,1451,1502,1396,4362,3762,2998
ENSRNOG00000010291,405,387,266,2140,3169,1732
ENSRNOG00000010296,30,24,26,238,129,104
ENSRNOG00000010298,1479,1418,694,5347,5475,2125
ENSRNOG00000010299,277,302,250,840,736,638
ENSRNOG00000010301,18,18,24,218,92,82
ENSRNOG00000010302,0,0.64,0,2.73,15.43,2.6
ENSRNOG00000010303,101,114,103,323,297,261
ENSRNOG00000010306,190.64,141.61,86.77,677.52,473.88,409.13
ENSRNOG00000010308,251,228,233,904,644,562
ENSRNOG00000010309,140,111,108,992,468,407
ENSRNOG00000010311,19,10,24,84,47,37
ENSRNOG00000010312,0,0,0,0,0,0
ENSRNOG00000010315,0,0,0,1,0,0
ENSRNOG00000010316,18,21,22,62,49,40
ENSRNOG00000010319,198,151,225,1488,779,550
ENSRNOG00000010320,0,0,0,0,2,0
ENSRNOG00000010325,164,99,86,711,718,377
ENSRNOG00000010326,6,16,13,21,12,11
ENSRNOG00000010330,651,622,601,2150,1806,1305
ENSRNOG00000010331,5486,4555,5080,17869,20585,13759
ENSRNOG00000010332,779,773,734,2477,2382,1852
ENSRNOG00000010337,22,13,12,75,154,89
ENSRNOG00000010342,46,51,36,132,92,94
ENSRNOG00000010344,0,0,0,0,1,0
ENSRNOG00000010345,6,0,5,5,3,1
ENSRNOG00000010347,0,0,1,8,1,1
ENSRNOG00000010348,0,0,0,1,0,0
ENSRNOG00000010349,0,0,0,0,0,0
ENSRNOG00000010350,152,152,77,413,663,431
ENSRNOG00000010352,1479,1544,1507,8926,9398,6142
ENSRNOG00000010353,314.53,334.73,284.79,858.35,751.87,614.84
ENSRNOG00000010357,0,0,0,0,0,1
ENSRNOG00000010358,114,139,104,395,489,344
ENSRNOG00000010359,0,0,0,2,3,1
ENSRNOG00000010361,191,147,179,677,578,402
ENSRNOG00000010362,99,80,88,495.97,409.99,327
ENSRNOG00000010363,307,363,335,980,866,733
ENSRNOG00000010365,1,6,1,22,15,9
ENSRNOG00000010369,304,347,302,1001,1036,851
ENSRNOG00000010370,407,438,337,1402,1197,864
ENSRNOG00000010375,0,0,0,0,0,0
ENSRNOG00000010378,1,0,1,3,9,5
ENSRNOG00000010379,550,544,503,1880,1984,1337
ENSRNOG00000010381,184,155,143,581,463,345
ENSRNOG00000010386,101,81,44.52,318.69,264.65,228.93
ENSRNOG00000010388,0,0,0,5,5,0
ENSRNOG00000010389,4851,5005,4496,20610,23185,18013
ENSRNOG00000010390,397,409,351,990,972,740
ENSRNOG00000010392,38,33,20,90,134,90
ENSRNOG00000010396,302,300,277,1065,901,714
ENSRNOG00000010397,3,9,3,9,6,15
ENSRNOG00000010402,2,1,0,3,4,2
ENSRNOG00000010406,0,1,1,1,5,2
ENSRNOG00000010407,559.22,578.98,419.72,1146.9,1093.34,1137.82
ENSRNOG00000010408,145,169,161,500,542,362
ENSRNOG00000010409,465,430,439,893,746,591
ENSRNOG00000010410,53058.36,65492.45,43832.67,227331.41,229328.55,166318.14
ENSRNOG00000010412,6,0,0,4,0,1
ENSRNOG00000010415,164,154,93,648,606,350
ENSRNOG00000010417,2,3,6,15,14,11
ENSRNOG00000010418,94.87,75.83,66.91,211.69,168.87,154.52
ENSRNOG00000010420,544,562,477,1487,1579,1161
ENSRNOG00000010421,171,168,140,674,976,654
ENSRNOG00000010423,0,0,0,7,7,1
ENSRNOG00000010427,1218,1393,1196,3002,2804,2327
ENSRNOG00000010428,214,204,159,727,689,462
ENSRNOG00000010430,0,0,0,0,0,0
ENSRNOG00000010431,0,0,0,0,0,0
ENSRNOG00000010434,135,146.97,134.96,392.88,379.74,259.87
ENSRNOG00000010435,54,55,51,151,122,99
ENSRNOG00000010436,81,82,61,323,315,219
ENSRNOG00000010438,2903.93,2865.81,2582.33,50.7,118.8,73.16
ENSRNOG00000010440,1,0,0,21,8,11
ENSRNOG00000010446,0,0,0,0,0,0
ENSRNOG00000010447,0,0,0,1,0,2
ENSRNOG00000010448,1465,1514,1298,5018,4182,3084
ENSRNOG00000010449,0,0,0,0,0,0
ENSRNOG00000010450,5,13,25,4,8,5
ENSRNOG00000010451,0,0,0,0,0,0
ENSRNOG00000010452,2417.89,2554.35,1961.66,6530.73,6524.54,5310.22
ENSRNOG00000010453,327,327,239,636,801,553
ENSRNOG00000010454,0,0,0,0,0,0
ENSRNOG00000010457,19,8,16,145,62,41
ENSRNOG00000010459,1,4,2,2,2,3
ENSRNOG00000010461,13,12,9,74,41,27
ENSRNOG00000010463,0,0,0,1,1,0
ENSRNOG00000010466,476,407,410,1589,1201,1008
ENSRNOG00000010467,0,0,0,0,0,0
ENSRNOG00000010468,78.86,160.42,66.83,29.28,33.28,46.48
ENSRNOG00000010472,59,92,80,350,235,168
ENSRNOG00000010473,5,9,3,24,22,8
ENSRNOG00000010474,780,779,757,3215,3437,2242
ENSRNOG00000010475,500,686,575,1779,1448,1174
ENSRNOG00000010477,259,239,189,712,775,545
ENSRNOG00000010478,57722.57,64974.55,68316.33,386360.51,338503.77,204455.73
ENSRNOG00000010479,651.3,635.41,791.02,1751.24,1994.19,1671.39
ENSRNOG00000010480,1,0,1,1,2,2
ENSRNOG00000010482,319,348,283,1175,1205,901
ENSRNOG00000010484,55,63,80,296,162,163
ENSRNOG00000010485,0,0,0,0,0,0
ENSRNOG00000010486,4,2,2,3,5,5
ENSRNOG00000010488,473,377,334,1643,1396,1148
ENSRNOG00000010489,94,97,93,485,427,297
ENSRNOG00000010490,3,0,0,0,1,0
ENSRNOG00000010492,60,60,61,330,219,158
ENSRNOG00000010495,594,464,452,1980,2338,1433
ENSRNOG00000010496,54,34,51,182.95,154,113.66
ENSRNOG00000010497,1206,1204,538,3620,3486,4769
ENSRNOG00000010502,263,273,251,965,1024,840
ENSRNOG00000010507,0,0,0,1,0,0
ENSRNOG00000010512,400,396,402,1417,1422,853
ENSRNOG00000010513,7,12,12,29,28,27
ENSRNOG00000010514,16,15,11,34,36,26
ENSRNOG00000010515,36,25,33,123,110,107
ENSRNOG00000010516,33,26,35,321,286,151
ENSRNOG00000010517,25,25,29,102,80,56
ENSRNOG00000010518,0,0,0,1,0,0
ENSRNOG00000010519,1296,1514,1107,6287,7406,5956
ENSRNOG00000010520,97,99,94,396,346,239
ENSRNOG00000010522,20,8,28,220,114,98
ENSRNOG00000010523,191,185,208,447,399,274
ENSRNOG00000010524,19,7,8,57,55,45
ENSRNOG00000010526,156,145,165,679,726,460
ENSRNOG00000010528,86.48,78.9,68.46,232.29,198.64,124.88
ENSRNOG00000010529,44,46,31,239,238,194
ENSRNOG00000010531,0,0,0,0,1,0
ENSRNOG00000010532,49,51,39,117,87,102
ENSRNOG00000010533,143,91,118,386,279,271
ENSRNOG00000010534,257,246,208,902,868,646
ENSRNOG00000010535,1,3,0,10,14,4
ENSRNOG00000010536,133,137,127,480,503,348
ENSRNOG00000010537,325,281,293,960,831,611
ENSRNOG00000010538,199,198,156,497,481,389
ENSRNOG00000010539,249,316,233,614,622,428
ENSRNOG00000010540,190,224,206,477,470,400
ENSRNOG00000010543,2288,2256,1986,8271,8145,5752
ENSRNOG00000010545,0,2,0,0,1,0
ENSRNOG00000010546,0,0,0,0,0,0
ENSRNOG00000010547,0,0,0,0,0,0
ENSRNOG00000010549,85,32,43,138,98,56
ENSRNOG00000010550,241,222,223,939,765,496
ENSRNOG00000010551,11,9,22,85,99,90
ENSRNOG00000010552,98,95,112,401,270,196
ENSRNOG00000010553,0,0,1,3,0,3
ENSRNOG00000010555,0,0,0,0,1,5
ENSRNOG00000010556,32,24,38,139,84,61
ENSRNOG00000010557,343,309,295,1354,946,690
ENSRNOG00000010558,493,438,379,1439,1639,1169
ENSRNOG00000010560,0,0,0,0,0,0
ENSRNOG00000010566,100,84,92,331,292,308
ENSRNOG00000010567,311,325,251,686,566,397
ENSRNOG00000010572,178,178,167,400,276,189
ENSRNOG00000010573,0,0,0,0,0,0
ENSRNOG00000010574,104,100,97,604,373,263
ENSRNOG00000010575,39,40,34,223,107,101
ENSRNOG00000010580,1259,1477,1089,519,642,478
ENSRNOG00000010584,906,861,750,4792,3675,2828
ENSRNOG00000010587,134.66,144.16,129.89,524.04,511.58,367.56
ENSRNOG00000010588,836,558,528,2011,1177,726
ENSRNOG00000010589,631.28,448,467.58,2253.52,1306.38,871.04
ENSRNOG00000010591,625,539,608,1989,1566,1435
ENSRNOG00000010592,37,30,25,63,38,27
ENSRNOG00000010593,269,229,266,725,603,548
ENSRNOG00000010594,40,54,36,193,220,222
ENSRNOG00000010595,135,170,140,455,415,296
ENSRNOG00000010597,0,0,0,0,0,0
ENSRNOG00000010598,4,4,6,40,29,14
ENSRNOG00000010600,0,1,0,2,3,0
ENSRNOG00000010601,230,226,202,644,521,398
ENSRNOG00000010602,340,542,299,2052,1974,897
ENSRNOG00000010603,4,7,7,112,69,63
ENSRNOG00000010605,0,0,0,0,0,0
ENSRNOG00000010607,0,1,0,3,2,3
ENSRNOG00000010608,69,71,76,243,145,142
ENSRNOG00000010609,445,459.89,398.8,1607.48,1456.84,1085.12
ENSRNOG00000010610,250,165,289,55,28,63
ENSRNOG00000010615,0,0,0,0,0,0
ENSRNOG00000010616,168,151,102,486,355,281
ENSRNOG00000010617,0,2,0,2,0,3
ENSRNOG00000010620,240,241,192,574,391,305
ENSRNOG00000010624,452,479,456,1978,1444,1131
ENSRNOG00000010625,37,40,45,205,158,151
ENSRNOG00000010626,7,1,0,9,14,3
ENSRNOG00000010628,480,515,460,1552,1683,1299
ENSRNOG00000010629,187,160,156,1062,845,579
ENSRNOG00000010630,206,252,241,1027,933,696
ENSRNOG00000010633,75804,86886,62947,76054,93974,73481
ENSRNOG00000010634,8,4,3,40,43,65
ENSRNOG00000010635,8618,7899,8143,46759,42158,28852
ENSRNOG00000010636,112,109,76,269,230,149
ENSRNOG00000010637,270,258,232,716,613,506
ENSRNOG00000010640,0,0,0,0,0,0
ENSRNOG00000010642,124,139,110,307,192,148
ENSRNOG00000010643,432,463,417,2301,1486,1497
ENSRNOG00000010645,100,99,78,564,376,256
ENSRNOG00000010646,25,12,18,270,118,69
ENSRNOG00000010649,0,2,2,8,0,5
ENSRNOG00000010650,97,96,80,215,176,155
ENSRNOG00000010652,133,154,123,488,500,536
ENSRNOG00000010653,237,265,294,897,612,633
ENSRNOG00000010655,5423,5985,5022,8750,9938,7195
ENSRNOG00000010657,2,1,0,5,1,3
ENSRNOG00000010658,6131.93,4649.59,3923.07,19736.82,38558.75,27136.16
ENSRNOG00000010659,130.16,167.92,163.71,440.25,324.67,333.19
ENSRNOG00000010661,3,1,3,19,14,5
ENSRNOG00000010663,1,1,1,5,2,3
ENSRNOG00000010664,59,60,53,141,145,96
ENSRNOG00000010665,4,0,3,21,23,10
ENSRNOG00000010666,0,2,2,9,16,1
ENSRNOG00000010668,1465,1502,1301,4944,4316,3070
ENSRNOG00000010673,183,202,196,572,534,405
ENSRNOG00000010676,399.99,428.92,313.99,1308.72,1236.86,980.77
ENSRNOG00000010680,34,48,29.91,78.6,68.32,48
ENSRNOG00000010681,0,0,0,3,0,0
ENSRNOG00000010682,308,315,307,1017,1000,748
ENSRNOG00000010685,0,0,0,0,0,0
ENSRNOG00000010688,11,7,5,24,25,22
ENSRNOG00000010691,38,27,28,213,150,102
ENSRNOG00000010694,37,43,38,80,70,48
ENSRNOG00000010695,54,28,24,419,264,220
ENSRNOG00000010696,15,5,15,7,6,6
ENSRNOG00000010697,11822,12964,10433,14149,15215,10702
ENSRNOG00000010698,3,1,2,42,83,57
ENSRNOG00000010699,11,9,7,9,19,2
ENSRNOG00000010701,7,7,3,16,19,20
ENSRNOG00000010702,1187,1151,1116,3262,2856,2280
ENSRNOG00000010706,129,182,116,506,509,277
ENSRNOG00000010708,256,259,252,1140,843,702
ENSRNOG00000010711,770,782,691,2473,2126,1731
ENSRNOG00000010712,237,242,202,659,596,415
ENSRNOG00000010714,1492,1618,3938,29987,20504,10755
ENSRNOG00000010716,240,226,184,1046,1006,910
ENSRNOG00000010718,11,9,6,47,50,29
ENSRNOG00000010719,253,269,246,874,807,574
ENSRNOG00000010720,0.02,0,0,0,0,0
ENSRNOG00000010721,38,27,19,118,93,112
ENSRNOG00000010725,1,0,0,0,0,4
ENSRNOG00000010727,650,672,594,2250,2165,1794
ENSRNOG00000010728,1126,1182,912,2822,2553,2001
ENSRNOG00000010729,635,742,686,2807,2420,1997
ENSRNOG00000010730,0,0,0,0,0,0
ENSRNOG00000010731,404,223,356,860,555,768
ENSRNOG00000010732,408.27,430.4,388.74,1091.11,1052.35,762.13
ENSRNOG00000010733,327,359,305,1111,984,679
ENSRNOG00000010735,255,284,234,877,821,637
ENSRNOG00000010736,0,2,0,0,0,0
ENSRNOG00000010737,821,863,862,2838,2242,2047
ENSRNOG00000010741,0,0,0,0,0,0
ENSRNOG00000010743,26,35,28,99,107,48
ENSRNOG00000010744,360,423,283,788,799,728
ENSRNOG00000010746,2833.24,2985.95,2827.69,6508.48,6070.73,4641.26
ENSRNOG00000010747,1229,710,557,5411,5909,3807
ENSRNOG00000010748,1626,1713,1335,5596,6121,3558
ENSRNOG00000010749,0,1,1,1,0,1
ENSRNOG00000010750,183,201,174,504,361,354
ENSRNOG00000010752,547,591,506,1661,1780,1531
ENSRNOG00000010753,1138,1333,1059,68,92,41
ENSRNOG00000010756,378,407,389,1490,1058,890
ENSRNOG00000010758,20,24,18,36,44,35
ENSRNOG00000010760,16,19,18,30,49,44
ENSRNOG00000010761,0,0,0,0,0,0
ENSRNOG00000010763,0,0,0,0,0,0
ENSRNOG00000010765,1222,1234,1078,1997,1927,1394
ENSRNOG00000010768,333.97,377.94,273.96,1175.9,1252.87,935.95
ENSRNOG00000010769,0,0,0,0,0,0
ENSRNOG00000010771,348,354,346,1324,1139,810
ENSRNOG00000010775,95,119,121,453,343,290
ENSRNOG00000010776,751,716,684,2393,2030,1375
ENSRNOG00000010777,0,0,0,8,5,9
ENSRNOG00000010780,500,516,517,2898,2400,1717
ENSRNOG00000010783,73.87,61.4,66.87,240.55,258.29,178.43
ENSRNOG00000010784,0,1,0,9,3,2
ENSRNOG00000010785,2,1,1,1,0,0
ENSRNOG00000010787,0,0,0,0,0,0
ENSRNOG00000010789,111,88,90,462,402,201
ENSRNOG00000010791,14,11,23,128,117,59
ENSRNOG00000010793,123,128,141,438,454,341
ENSRNOG00000010794,41,54,55,167,185,121
ENSRNOG00000010795,167,154,120,495,507,355
ENSRNOG00000010797,12,31,20,29,11,4
ENSRNOG00000010798,13,15,10,111,72,55
ENSRNOG00000010799,80,41,60,40,187,92
ENSRNOG00000010800,11573,12863,11734,5176,5938,3879
ENSRNOG00000010802,22,20,30,125,87,97
ENSRNOG00000010803,0,0,0,0,0,0
ENSRNOG00000010804,0,0,0,0,0,0
ENSRNOG00000010805,16,11,12,84,25,28
ENSRNOG00000010806,0,0,0,0,0,0
ENSRNOG00000010807,1437,1445,1170,3302,3591,2456
ENSRNOG00000010811,0,0,0,1,0,0
ENSRNOG00000010812,10,10,9,40,43,32
ENSRNOG00000010813,234,233,222,1487,1729,1085
ENSRNOG00000010815,284,267,220,921,813,650
ENSRNOG00000010816,0,0,0,0,0,0
ENSRNOG00000010819,86,89,61,115,172,140
ENSRNOG00000010821,16,18,19,93,75,58
ENSRNOG00000010822,0,0,0,0,0,0
ENSRNOG00000010824,11,19,24,101,71,51
ENSRNOG00000010825,55,52,39,183,111,98
ENSRNOG00000010827,57,72,43,134,97,87
ENSRNOG00000010830,143,69,118,361,214,161
ENSRNOG00000010832,6,4,3,28.73,11,9
ENSRNOG00000010833,45,56,58,152,105,74
ENSRNOG00000010834,0,8,6,5,1,89
ENSRNOG00000010835,0,0,0,0,0,0
ENSRNOG00000010838,818,837,685,2560,2455,1829
ENSRNOG00000010839,0,1,1,1,2,1
ENSRNOG00000010840,16,21,29,90,115,62
ENSRNOG00000010841,14,6,4,29,35,17
ENSRNOG00000010843,217,293,231,762,708,514
ENSRNOG00000010846,180.79,183.91,156,608.23,489.91,385.82
ENSRNOG00000010849,246,302,223,580,618,503
ENSRNOG00000010852,242,290,247,602,658,459
ENSRNOG00000010853,0,0,0,0,0,0
ENSRNOG00000010855,171.79,191,151,549,478,345
ENSRNOG00000010859,138,174,189,859,887,560
ENSRNOG00000010861,490,530,537,1899,1609,1326
ENSRNOG00000010866,0,1,1,5,5,4
ENSRNOG00000010867,5,3,1,12,10,2
ENSRNOG00000010868,1,0,0,0,0,0
ENSRNOG00000010870,0,0,0,0,0,0
ENSRNOG00000010872,58,36,62,806,407,285
ENSRNOG00000010873,219,199,165,594,430,334
ENSRNOG00000010875,18,28,21,111,91,69
ENSRNOG00000010877,257,205,222,508,383,314
ENSRNOG00000010880,0,0,0,0,0,0
ENSRNOG00000010881,631,741,478,1634,1443,1157
ENSRNOG00000010882,229,256,221,765,748,576
ENSRNOG00000010883,58,75,65,315,291,223
ENSRNOG00000010885,0,0,1,2,1,1
ENSRNOG00000010886,0,0,0,1,0,0
ENSRNOG00000010887,758,796,498,2222,4321,3430
ENSRNOG00000010888,47,51,56,119,210,151
ENSRNOG00000010889,74,79,75,338,414,274
ENSRNOG00000010890,1056,982,1085,4513,4605,3595
ENSRNOG00000010891,26,22,19,62,24,39
ENSRNOG00000010892,240,230,190,669,629,408
ENSRNOG00000010893,0,0,0,0,0,0
ENSRNOG00000010894,74,92,52,272,218,149
ENSRNOG00000010895,1389,1525,1150,4489,4902,3765
ENSRNOG00000010896,78,56,60,306,318,219
ENSRNOG00000010897,260,207,244,986,829,665
ENSRNOG00000010898,0,0,1,0,0,1
ENSRNOG00000010899,1,0,0,1,0,1
ENSRNOG00000010902,767,803,651,2785,2415,1841
ENSRNOG00000010903,0,0,0,0,0,0
ENSRNOG00000010905,0,0,1,0,0,0
ENSRNOG00000010906,14,8,30,148,126,104
ENSRNOG00000010910,97,109,61,270,273,164
ENSRNOG00000010911,1,1,2,12,9,9
ENSRNOG00000010912,245,230,215,652,620,432
ENSRNOG00000010914,191,203,162,552,491,395
ENSRNOG00000010915,755,649,616,2454,1183,1339
ENSRNOG00000010917,55,60,76,370,312,274
ENSRNOG00000010918,3587,4159,2343,10466,12226,5410
ENSRNOG00000010919,26,18,23,82,63,45
ENSRNOG00000010921,83,102,116,222,184.88,106
ENSRNOG00000010922,166,243,178,296,192,191
ENSRNOG00000010929,0,0,0,2,1,1
ENSRNOG00000010930,296,286,235,805,813,634
ENSRNOG00000010932,0,0,0,0,0,0
ENSRNOG00000010934,93,71,77,116,149,97
ENSRNOG00000010935,3491,4089,3082,20869,18123,14701
ENSRNOG00000010938,3.03,2,1.01,18.31,19.23,11.14
ENSRNOG00000010940,6651,9923,6105,7733,8523,5967
ENSRNOG00000010941,21,44,51,312,215,73
ENSRNOG00000010942,1,0,0,6,3,2
ENSRNOG00000010944,1308,1427,1551,8631,12541,6215
ENSRNOG00000010945,1109,1152,1046,3459,3507,2729
ENSRNOG00000010947,536,500,490,2545,2166,1903
ENSRNOG00000010950,23,16,13,90,61,45
ENSRNOG00000010951,985,1149,805,6497,8681,6180
ENSRNOG00000010952,204,226,210,415,314,199
ENSRNOG00000010953,136,113,107,534,406,334
ENSRNOG00000010957,47,43,50,131,133,113
ENSRNOG00000010958,1093,1190,958,2463,2494,1796
ENSRNOG00000010959,304,189,305,1597,798,658
ENSRNOG00000010960,502,514,406,3467,2866,2617
ENSRNOG00000010963,1,0,2,5,2,0
ENSRNOG00000010964,515,817,637,2281,1995,1506
ENSRNOG00000010966,1898,1975,1755,5801,4754,3624
ENSRNOG00000010967,384,367,350,1370,1030,855
ENSRNOG00000010970,0,0,0,0,0,0
ENSRNOG00000010971,167,204,160,736,487,440
ENSRNOG00000010972,0,0,0,0,0,0
ENSRNOG00000010975,991,1145,947,3507,3161,2414
ENSRNOG00000010977,8,0,7,24,14,18
ENSRNOG00000010980,157,140,137,508,378,293
ENSRNOG00000010981,73,110,87,305,281,219
ENSRNOG00000010983,0,0,0,0,0,0
ENSRNOG00000010984,703,700,663,2621,2406,1795
ENSRNOG00000010985,205,184,193,643,626,470
ENSRNOG00000010986,24,17,24,229,126,92
ENSRNOG00000010989,1190,1258,1144,2200,1945,1528
ENSRNOG00000010992,0,0,0,0,0,0
ENSRNOG00000010993,513,527,456,1242,1338,886
ENSRNOG00000010994,0,0,0,0,2,2
ENSRNOG00000010996,162,207,230,641,536,518
ENSRNOG00000010997,56,63,56,321,253,182
ENSRNOG00000010999,58,46,47,182,128.12,91
ENSRNOG00000011000,0,0,0,0,0,0
ENSRNOG00000011001,0,0,0,0,0,0
ENSRNOG00000011006,0,1,1,2,4,1
ENSRNOG00000011007,152,134,147,563,513,305
ENSRNOG00000011008,451,452,468,1705,1582,1210
ENSRNOG00000011009,42,56,61,128,160,96
ENSRNOG00000011011,0,0,1,2,1,0
ENSRNOG00000011014,534,456,481,1358,1277,1046
ENSRNOG00000011015,178,144,151,222,184,114
ENSRNOG00000011016,1528,2013,1785,6771,4871,3643
ENSRNOG00000011019,330.78,319.77,229.18,1614.38,2004.85,1108.74
ENSRNOG00000011020,900,847,793,2075,1957,1459
ENSRNOG00000011022,0,0,0,10,0,0
ENSRNOG00000011024,79,85,83,350,252,221
ENSRNOG00000011025,114,111,113,264,209,201
ENSRNOG00000011026,131,224,129,640,810,376
ENSRNOG00000011027,317,252,281,1051,1089,807
ENSRNOG00000011028,1,0,1,1,0,0
ENSRNOG00000011029,482,488,486,1943,1736,1268
ENSRNOG00000011032,73,93,76,254,446,338
ENSRNOG00000011033,1,0,0,2,0,2
ENSRNOG00000011034,1,0,0,0,0,0
ENSRNOG00000011037,0,0,0,0,0,0
ENSRNOG00000011039,558,639,463,2846,1940,1609
ENSRNOG00000011040,123.49,124.19,159.03,305.4,246.47,204.95
ENSRNOG00000011042,16,5,6,14,5,7
ENSRNOG00000011044,1123,1101,881,2148,2037,1251
ENSRNOG00000011047,232,261,240,912,791,621
ENSRNOG00000011052,941,940,964,2890,3013,2127
ENSRNOG00000011053,26,35,23,174,185,149
ENSRNOG00000011054,121,98,122,1059,685,476
ENSRNOG00000011057,1178,1066,1053,2976,2392,1863
ENSRNOG00000011058,623,728,712,1781,2014,1417
ENSRNOG00000011059,16,26,42,132,110,90
ENSRNOG00000011060,35,46,26,208,165,87
ENSRNOG00000011063,69,67,86,335,256,211
ENSRNOG00000011065,0,0,0,0,0,0
ENSRNOG00000011066,841,1007,980,4398,4072,2840
ENSRNOG00000011067,10.35,14.85,8.67,25.83,24.96,18.06
ENSRNOG00000011068,917,894,814,7508,10124,6416
ENSRNOG00000011070,26,20,15,143,79,70
ENSRNOG00000011071,849,986,789,5979,4615,5101
ENSRNOG00000011073,443,527,535,1642,1732,1261
ENSRNOG00000011074,0,0,0,0,0,0
ENSRNOG00000011076,2,2,2,14,10,8
ENSRNOG00000011077,765,849,792,2598,2887,2237
ENSRNOG00000011078,22.36,111.95,20.69,84.82,267.8,268.34
ENSRNOG00000011081,185,188,133,694,199,92
ENSRNOG00000011082,0,0,0,0,0,0
ENSRNOG00000011091,0,0,0,0,0,0
ENSRNOG00000011092,0,0,0,0,0,0
ENSRNOG00000011093,460,445,470,1317,1278,1002
ENSRNOG00000011094,0,0,0,0,2,5
ENSRNOG00000011096,48.14,72.68,24.01,193.83,168.66,120.09
ENSRNOG00000011100,0,0,0,0,0,0
ENSRNOG00000011101,4,6,3,9,12,8
ENSRNOG00000011104,701.67,723.31,650.6,1765.71,1502.28,1218.75
ENSRNOG00000011105,19,11,21,40,43,39
ENSRNOG00000011107,0,9.51,18.92,128.62,85.13,91
ENSRNOG00000011108,0,0,0,0,0,0
ENSRNOG00000011111,323,317,264,699,636,435
ENSRNOG00000011112,7,3,3,14,9,2
ENSRNOG00000011113,0,0,0,0,0,0
ENSRNOG00000011114,85,72,73,308,271,158
ENSRNOG00000011116,236,200,193,896,751,551
ENSRNOG00000011119,110.89,153.07,131.47,521.25,321.2,380.19
ENSRNOG00000011120,1,1,0,5,2,1
ENSRNOG00000011124,183.36,247.92,188.22,619.03,601.81,426.23
ENSRNOG00000011130,1,0,0,0,0,0
ENSRNOG00000011132,0,0,0,0,0,0
ENSRNOG00000011133,0,0,0,0,0,0
ENSRNOG00000011134,69,75,91,403,311,248
ENSRNOG00000011135,256,218,260,594,426,394
ENSRNOG00000011136,0,0,0,0,0,0
ENSRNOG00000011137,50,53,81,284,208,156
ENSRNOG00000011138,1910.97,2007.98,1816.96,4946.91,4384.96,3372.98
ENSRNOG00000011140,807,927,702,2319,2135,1674
ENSRNOG00000011141,803,905,916,6389,4780,3494
ENSRNOG00000011142,1964,2378,1858,3355,3471,2959
ENSRNOG00000011144,1,0,0,2,0,0
ENSRNOG00000011145,0,0,0,0,0,0
ENSRNOG00000011146,182,163,147,398,249,201
ENSRNOG00000011148,1453,1522,1320,6439,6412,5198
ENSRNOG00000011150,1005,673,711,1176,1315,890
ENSRNOG00000011151,0,1,0,0,7,4
ENSRNOG00000011153,304,303,245,2125,1880,1390
ENSRNOG00000011154,683,876,844,2918,2639,2051
